manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Penco,PENCO-6177V,Locker,10 51 13,"Penco Vanguard. Double Door. 21""W x 24""D x 72""H. 1-tier. Cat.No 6177V",21,24,72,,,,USD,EA
Penco,PENCO-6178V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 30.5""H. 1-tier. Cat.No 6178V",24,24,30.5,,,,USD,EA
Penco,PENCO-6179V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 18""D x 13-5/8""H. 1-tier. Cat.No 6179V",12,18,13-5/8,,,,USD,EA
Penco,PENCO-6180V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 72""H. 1-tier. Cat.No 6180V",15,15,72,,,,USD,EA
Penco,PENCO-6181V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 18""D x 72""H. 1-tier. Cat.No 6181V",18,18,72,,,,USD,EA
Penco,PENCO-6182V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 30.5""H. 1-tier. Cat.No 6182V",12,12,30.5,,,,USD,EA
Penco,PENCO-6183V,Locker,10 51 13,"Penco Vanguard. Locker. 21""D x 72""H. 1-tier. Cat.No 6183V",,21,72,,,,USD,EA
Penco,PENCO-6184V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 48.5""H. 1-tier. Cat.No 6184V",15,15,48.5,,,,USD,EA
Penco,PENCO-6185V,Locker,10 51 13,"Penco Vanguard. Locker. 24""D x 72""H. 1-tier. Cat.No 6185V",,24,72,,,,USD,EA
Penco,PENCO-6186V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 30""D x 5""H. 1-tier. Cat.No 6186V",12,30,5,,,,USD,EA
Penco,PENCO-6187V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 18""D x 48.5""H. 1-tier. Cat.No 6187V",12,18,48.5,,,,USD,EA
Penco,PENCO-6188V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 18""D x 30.5""H. 1-tier. Cat.No 6188V",24,18,30.5,,,,USD,EA
Penco,PENCO-6189V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 30""D x 5""H. 1-tier. Cat.No 6189V",18,30,5,,,,USD,EA
Penco,PENCO-6190V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 30.5""H. 1-tier. Cat.No 6190V",24,24,30.5,,,,USD,EA
Penco,PENCO-6196V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 18""D x 72""H. 1-tier. Cat.No 6196V",24,18,72,,,,USD,EA
Penco,PENCO-6198V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 21""D x 72""H. 1-tier. Cat.No 6198V",24,21,72,,,,USD,EA
Penco,PENCO-6199V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 72""H. 1-tier. Cat.No 6199V",24,24,72,,,,USD,EA
Penco,PENCO-6013V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 12""D x 84""H. 1-tier. Cat.No 6013V",9,12,84,,,,USD,EA
Penco,PENCO-6014V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 15""D x 84""H. 1-tier. Cat.No 6014V",9,15,84,,,,USD,EA
Penco,PENCO-6015V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 18""D x 84""H. 1-tier. Cat.No 6015V",12,18,84,,,,USD,EA
Penco,PENCO-6016V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 84""H. 1-tier. Cat.No 6016V",12,12,84,,,,USD,EA
Penco,PENCO-6017V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 15""D x 84""H. 1-tier. Cat.No 6017V",12,15,84,,,,USD,EA
Penco,PENCO-6018V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 18""D x 84""H. 1-tier. Cat.No 6018V",12,18,84,,,,USD,EA
Penco,PENCO-6019V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 48""D x 5""H. 2-tier. Cat.No 6019V",24,48,5,,,,USD,EA
Penco,PENCO-6060V,Locker,10 51 13,"Penco Vanguard. Locker. 12""D x 84""H. 1-tier. Cat.No 6060V",,12,84,,,,USD,EA
Penco,PENCO-6061V,Locker,10 51 13,"Penco Vanguard. Locker. 15""D x 84""H. 1-tier. Cat.No 6061V",,15,84,,,,USD,EA
Penco,PENCO-6062V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 18""D x 84""H. 1-tier. Cat.No 6062V",9,18,84,,,,USD,EA
